Slice,Count,Total Area,Average Size,%Area,Mean
20110395_A01_1_127_448.png (green),10,1599,159.900,4.162,255
20110395_A01_1_132_976.png (green),25,2828,113.120,7.362,255
20110395_A01_1_148_259.png (green),8,830,103.750,2.161,255
20110395_A01_1_149_688.png (green),30,3995,133.167,10.399,255
20110395_A01_1_154_769.png (green),42,3335,79.405,8.681,255
20110395_A01_1_179_853.png (green),23,1900,82.609,4.946,255
20110395_A01_1_192_1001.png (green),14,1980,141.429,5.154,255
20110395_A01_1_194_1078.png (green),26,3134,120.538,8.158,255
20110395_A01_1_195_598.png (green),14,1679,119.929,4.371,255
20110395_A01_1_196_332.png (green),10,2445,244.500,6.365,255
20110395_A01_1_201_130.png (green),23,2185,95.000,5.688,255
20110395_A01_1_212_1127.png (green),21,2868,136.571,7.466,255
20110395_A01_1_245_1236.png (green),22,2025,92.045,5.271,255
20110395_A01_1_269_351.png (green),19,3827,201.421,9.962,255
20110395_A01_1_285_840.png (green),22,2347,106.682,6.109,255
20110395_A01_1_292_215.png (green),27,1472,54.519,3.832,255
20110395_A01_1_292_494.png (green),9,2039,226.556,5.308,255
20110395_A01_1_317_411.png (green),19,1727,90.895,4.496,255
20110395_A01_1_325_983.png (green),16,3193,199.562,8.312,255
20110395_A01_1_330_1034.png (green),19,2007,105.632,5.224,255
20110395_A01_1_339_1194.png (green),7,2371,338.714,6.172,255
20110395_A01_1_363_317.png (green),12,2648,220.667,6.893,255
20110395_A01_1_375_851.png (green),34,3670,107.941,9.553,255
20110395_A01_1_390_684.png (green),8,1985,248.125,5.167,255
20110395_A01_1_391_185.png (green),36,3316,92.111,8.632,255
20110395_A01_1_395_408.png (green),23,1990,86.522,5.180,255
20110395_A01_1_409_919.png (green),35,3390,96.857,8.824,255
20110395_A01_1_411_571.png (green),6,1629,271.500,4.240,255
20110395_A01_1_448_972.png (green),21,2823,134.429,7.349,255
20110395_A01_1_450_209.png (green),28,2265,80.893,5.896,255
20110395_A01_1_455_405.png (green),13,955,73.462,2.486,255
20110395_A01_1_467_1102.png (green),9,849,94.333,2.210,255
20110395_A01_1_481_634.png (green),24,2289,95.375,5.958,255
20110395_A01_1_500_1195.png (green),9,947,105.222,2.465,255
20110395_A01_1_522_514.png (green),11,1887,171.545,4.912,255
20110395_A01_1_532_190.png (green),30,2125,70.833,5.532,255
20110395_A01_1_561_811.png (green),25,4213,168.520,10.967,255
20110395_A01_1_574_703.png (green),28,3679,131.393,9.577,255
20110395_A01_1_575_1149.png (green),7,993,141.857,2.585,255
20110395_A01_1_585_281.png (green),74,9128,123.351,23.761,255
20110395_A01_1_610_344.png (green),75,5117,68.227,13.320,255
20110395_A01_1_634_506.png (green),9,864,96.000,2.249,255
20110395_A01_1_646_1017.png (green),19,3531,185.842,9.191,255
20110395_A01_1_656_271.png (green),79,2505,31.709,6.521,255
20110395_A01_1_663_714.png (green),35,2557,73.057,6.656,255
20110395_A01_1_664_575.png (green),15,5939,395.933,15.460,255
20110395_A01_1_713_983.png (green),20,3535,176.750,9.202,255
20110395_A01_1_717_577.png (green),31,5597,180.548,14.569,255
20110395_A01_1_721_738.png (green),40,6382,159.550,16.613,255
